path,bytes,read_status,row_count,column_count,columns,events_ready,events_reason,labels_ready,labels_reason,splits_ready,splits_reason,candidate_roles
reports/gate_b_closeout_2026-05-22/gate_b_closeout_decisions_partial_2026-05-22.csv,1129,ok,3,9,"ledger_id,human_decision,reviewer_name,review_date,evidence_uri,evidence_hash,resolution_notes,rerun_required,rerun_artifact_uri",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_closeout_2026-05-22/gate_b_closeout_ledger.csv,6228,ok,8,20,"ledger_id,gate,priority,domain,blocker_source,action,evidence,required_evidence,owner,exit_criterion,closeout_status,human_decision,reviewer_name,review_date,evidence_uri,evidence_hash,resolution_notes,rerun_required,rerun_artifact_uri,claim_status",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_closeout_2026-05-22/gate_b_closeout_summary.csv,395,ok,1,11,"run_id,source_uri,ledger_rows,closed_rows,open_rows,blocked_rows,invalid_rows,p0_open_rows,gate_b_status,decision_evidence_status,claim_status",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_closeout_simulation_2026-05-22/gate_b_closeout_decisions_simulated_remaining_2026-05-22.csv,1953,ok,5,9,"ledger_id,human_decision,reviewer_name,review_date,evidence_uri,evidence_hash,resolution_notes,rerun_required,rerun_artifact_uri",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_closeout_simulation_2026-05-22/gate_b_closeout_ledger.csv,7977,ok,8,20,"ledger_id,gate,priority,domain,blocker_source,action,evidence,required_evidence,owner,exit_criterion,closeout_status,human_decision,reviewer_name,review_date,evidence_uri,evidence_hash,resolution_notes,rerun_required,rerun_artifact_uri,claim_status",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_closeout_simulation_2026-05-22/gate_b_closeout_summary.csv,441,ok,1,11,"run_id,source_uri,ledger_rows,closed_rows,open_rows,blocked_rows,invalid_rows,p0_open_rows,gate_b_status,decision_evidence_status,claim_status",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/closeout/gate_b_closeout_ledger.csv,8489,ok,8,20,"ledger_id,gate,priority,domain,blocker_source,action,evidence,required_evidence,owner,exit_criterion,closeout_status,human_decision,reviewer_name,review_date,evidence_uri,evidence_hash,resolution_notes,rerun_required,rerun_artifact_uri,claim_status",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/closeout/gate_b_closeout_summary.csv,410,ok,1,11,"run_id,source_uri,ledger_rows,closed_rows,open_rows,blocked_rows,invalid_rows,p0_open_rows,gate_b_status,decision_evidence_status,claim_status",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/gate_b_real_decisions_2026-05-23.csv,2469,ok,5,9,"ledger_id,human_decision,reviewer_name,review_date,evidence_uri,evidence_hash,resolution_notes,rerun_required,rerun_artifact_uri",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/intake/gate_b_real_decision_intake_rows.csv,2101,ok,5,12,"ledger_id,required_evidence,decision_status,human_decision,reviewer_name,review_date,evidence_uri,evidence_hash_status,rerun_required,rerun_artifact_status,next_action,claim_status",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/intake/gate_b_real_decision_intake_summary.csv,570,ok,1,18,"run_id,source_uri,required_rows,decision_rows,accepted_rows,closing_rows,human_blocker_rows,issue_rows,missing_rows,incomplete_rows,invalid_decision_rows,simulation_marker_rows,invalid_hash_rows,rerun_artifact_issue_rows,unknown_decision_rows,intake_status,gate_b_next_status,claim_status",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/real_closeout/gate_b_real_closeout_readiness.csv,3073,ok,8,11,"ledger_id,gate,priority,domain,current_closeout_status,real_closeout_state,simulation_decision_available,simulated_human_decision,required_evidence,real_closeout_action,claim_status",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/real_closeout/gate_b_real_closeout_required_decisions_template.csv,147,ok,0,10,"ledger_id,required_evidence,human_decision,reviewer_name,review_date,evidence_uri,evidence_hash,resolution_notes,rerun_required,rerun_artifact_uri",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/real_closeout/gate_b_real_closeout_summary.csv,387,ok,1,10,"run_id,source_uri,ledger_rows,real_closed_rows,real_open_rows,blocked_rows,invalid_rows,simulation_available_open_rows,gate_b_real_closeout_status,claim_status",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/validation/gate_b_validation_matrix.csv,4613,ok,8,15,"gate,priority,domain,blocker_source,action,guardrail_evidence,ledger_id,closeout_status,human_decision,evidence_uri,rerun_required,rerun_artifact_uri,validation_status,next_action,claim_status",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/validation/gate_b_validation_summary.csv,651,ok,1,20,"run_id,source_uri,guardrail_actions,gate_b_actions,gate_b_closed_actions,gate_b_open_actions,gate_b_p0_open_actions,gate_b_source_review_actions,msg_p0_patients,msg_unmatched_events,msg_not_main_horizons,msg_source_review_horizons,seizeit2_readiness_status,seizeit2_blockers,seizeit2_warnings,simulation_marker_detected,gate_b_validation_status,gate_b_passed,gate_c_next_status,claim_status",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/validation_guardrails/gate_bc_action_checklist.csv,3620,ok,8,9,"gate,priority,domain,blocker_source,action,evidence,owner,exit_criterion,claim_status",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/validation_guardrails/gate_bc_action_summary.csv,198,ok,1,8,"source_label,actions_total,p0_actions,p1_actions,p2_actions,gate_b_actions,gate_c_actions,claim_status",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/validation_guardrails/inputs/msg_event_clusters.csv,511,ok,11,8,"patient_id,events_total,clusters,clustered_events,max_cluster_size,mean_events_per_cluster,cluster_gap_minutes,manual_review_priority",False,"events missing required columns: ['recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/validation_guardrails/inputs/msg_event_coverage.csv,1029,ok,11,11,"patient_id,events_total,events_matched,events_unmatched,events_unknown,matched_fraction,recordings,recording_hours,first_seizure_start,last_seizure_start,manual_review_priority",False,"events missing required columns: ['recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/validation_guardrails/inputs/msg_horizon_viability.csv,810,ok,6,16,"sph_minutes,sop_minutes,windows_total,valid_windows,valid_window_fraction,excluded_windows,positive_windows_total,valid_positive_windows,right_censored_windows,right_censored_unknown_windows,right_censored_confirmed_positive_windows,events_total,events_coverable_by_valid_windows,event_coverable_fraction,events_recording_matched,events_recording_unmatched",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/validation_guardrails/inputs/seizeit2_local_count_summary.csv,201,ok,4,4,"metric,observed,expected,count_status",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/validation_guardrails/inputs/seizeit2_local_track.csv,152,ok,1,5,"split_name,task_name,modality_track,official_split_status,track_ready",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/validation_guardrails/msg_gap_horizon_triage.csv,2295,ok,6,18,"sph_minutes,sop_minutes,horizon_status,issue_flags,recommended_action,windows_total,valid_windows,valid_window_fraction,positive_windows_total,valid_positive_windows,right_censored_unknown_windows,right_censored_unknown_fraction,events_total,events_coverable_by_valid_windows,event_coverable_fraction,events_recording_matched,events_recording_unmatched,claim_status",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/validation_guardrails/msg_gap_patient_triage.csv,3787,ok,11,15,"patient_id,triage_priority,evaluable_status,issue_flags,recommended_action,events_total,events_matched,events_unmatched,matched_fraction,recordings,recording_hours,clusters,clustered_events,max_cluster_size,claim_status",False,"events missing required columns: ['recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/validation_guardrails/msg_gap_summary.csv,441,ok,1,15,"dataset,patients_total,patients_p0_blocker,patients_p1_source_review_required,patients_p1_timeline_review_required,patients_p2_routine,events_total,events_matched,events_unmatched,horizons_total,horizons_not_main_table_ready,horizons_source_review_required,horizons_candidate_after_gate_b_c,claim_status,gate_c_implication",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/validation_guardrails/msg_gap_triage_manifest.csv,793,ok,1,10,"dataset,claim_status,config,coverage_hash,clusters_hash,viability_hash,patient_triage_hash,horizon_triage_hash,summary_hash,result_status",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/validation_guardrails/seizeit2_cohort_readiness_blockers.csv,2920,ok,19,5,"issue_code,severity,detail,affected_rows,claim_status",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/validation_guardrails/seizeit2_cohort_readiness_manifest.csv,887,ok,1,10,"claim_status,result_status,gate_b_status,gate_c_status,config,track_hash,count_summary_hash,summary_hash,blockers_hash,warnings_hash",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/validation_guardrails/seizeit2_cohort_readiness_summary.csv,282,ok,1,11,"readiness_status,full_cohort_claim_status,gate_b_status,gate_c_status,patients_observed,events_observed,track_rows,ready_track_rows,blockers,warnings,claim_status",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_final_human_closeout_2026-05-23/validation_guardrails/seizeit2_cohort_readiness_warnings.csv,225,ok,1,5,"issue_code,severity,detail,affected_rows,claim_status",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_real_closeout_2026-05-22/gate_b_real_closeout_readiness.csv,4121,ok,8,11,"ledger_id,gate,priority,domain,current_closeout_status,real_closeout_state,simulation_decision_available,simulated_human_decision,required_evidence,real_closeout_action,claim_status",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
reports/gate_b_real_closeout_2026-05-22/gate_b_real_closeout_required_decisions_template.csv,879,ok,5,10,"ledger_id,required_evidence,human_decision,reviewer_name,review_date,evidence_uri,evidence_hash,resolution_notes,rerun_required,rerun_artifact_uri",False,"events missing required columns: ['patient_id', 'recording_id', 'seizure_end', 'seizure_start']",False,"labels missing required columns: ['forecast_label', 'is_excluded', 'patient_id', 'recording_id', 'split', 'window_end', 'window_start']",False,splits missing required columns: ['split'],
