model,fold,accuracy,acc_lo,acc_hi,precision,recall,rec_lo,rec_hi,f1,fpr,fpr_lo,fpr_hi,roc_auc,tp,tn,fp,fn,n_test_pos
decision_tree,0,0.9970,0.9949,0.9982,0.8000,0.5217,0.3296,0.7076,0.6316,0.0007,0.0002,0.0019,0.7605,12,4586,3,11,23
svm_rbf,0,0.9989,0.9975,0.9995,1.0000,0.7826,0.5810,0.9034,0.8780,0.0000,0.0000,0.0008,0.9937,18,4589,0,5,23
random_forest,0,0.9976,0.9957,0.9987,1.0000,0.5217,0.3296,0.7076,0.6857,0.0000,0.0000,0.0008,0.9996,12,4589,0,11,23
decision_tree,1,0.9965,0.9944,0.9979,0.6842,0.5652,0.3681,0.7437,0.6190,0.0013,0.0006,0.0028,0.7820,13,4583,6,10,23
svm_rbf,1,0.9985,0.9969,0.9993,0.8636,0.8261,0.6286,0.9302,0.8444,0.0007,0.0002,0.0019,0.9993,19,4586,3,4,23
random_forest,1,0.9974,0.9955,0.9985,1.0000,0.4783,0.2924,0.6704,0.6471,0.0000,0.0000,0.0008,0.9997,11,4589,0,12,23
decision_tree,2,0.9970,0.9949,0.9982,0.6957,0.6957,0.4913,0.8440,0.6957,0.0015,0.0007,0.0031,0.8471,16,4582,7,7,23
svm_rbf,2,0.9985,0.9969,0.9993,1.0000,0.6957,0.4913,0.8440,0.8205,0.0000,0.0000,0.0008,0.9989,16,4589,0,7,23
random_forest,2,0.9983,0.9966,0.9991,1.0000,0.6522,0.4489,0.8119,0.7895,0.0000,0.0000,0.0008,0.9975,15,4589,0,8,23
decision_tree,3,0.9972,0.9952,0.9984,0.7083,0.7391,0.5353,0.8745,0.7234,0.0015,0.0007,0.0031,0.8688,17,4582,7,6,23
svm_rbf,3,0.9989,0.9975,0.9995,1.0000,0.7826,0.5810,0.9034,0.8780,0.0000,0.0000,0.0008,0.9962,18,4589,0,5,23
random_forest,3,0.9974,0.9955,0.9985,1.0000,0.4783,0.2924,0.6704,0.6471,0.0000,0.0000,0.0008,0.9995,11,4589,0,12,23
decision_tree,4,0.9965,0.9944,0.9979,0.6875,0.5000,0.3072,0.6928,0.5789,0.0011,0.0005,0.0025,0.7495,11,4584,5,11,22
svm_rbf,4,0.9980,0.9963,0.9990,1.0000,0.5909,0.3873,0.7674,0.7429,0.0000,0.0000,0.0008,0.9916,13,4589,0,9,22
random_forest,4,0.9970,0.9949,0.9982,1.0000,0.3636,0.1973,0.5705,0.5333,0.0000,0.0000,0.0008,0.9975,8,4589,0,14,22